"CUST_NO","CNT_ORDER","QTY","ORDER_AMT","DC_AMT","FOOD_ORDER","FOOD_QTY","FOOD_AMT","FOOD_DC_AMT","SB_ORDER","SB_QTY","SB_AMT","SB_DC_AMT"
"202102831561",,,,,,,,,,,,
"201703850438",,,,,,,,,,,,
"202001912634",1,1,237000,1000,0,,,,0,,,
"202011926889",,,,,,,,,,,,
"202101107950",,,,,,,,,,,,
"202101045960",,,,,,,,,,,,
"202012963460",,,,,,,,,,,,
"202101810422",,,,,,,,,,,,
"201911332582",,,,,,,,,,,,
"202102749275",,,,,,,,,,,,
"202007010756",,,,,,,,,,,,
"202005054278",,,,,,,,,,,,
"202012082347",,,,,,,,,,,,
"201905807736",,,,,,,,,,,,
"201802653826",,,,,,,,,,,,
"202002684758",,,,,,,,,,,,
"202012642432",,,,,,,,,,,,
"202001035915",,,,,,,,,,,,
"202101107672",,,,,,,,,,,,
"202006121334",,,,,,,,,,,,
"201905044240",,,,,,,,,,,,
"202005897204",,,,,,,,,,,,
"202005068410",,,,,,,,,,,,
"202101045762",,,,,,,,,,,,
"201904519291",,,,,,,,,,,,
"201911231429",,,,,,,,,,,,
"201810554576",,,,,,,,,,,,
"202004253977",,,,,,,,,,,,
"201903625772",,,,,,,,,,,,
"201805955809",,,,,,,,,,,,
"201809369966",,,,,,,,,,,,
"202010530457",,,,,,,,,,,,
"202007902679",,,,,,,,,,,,
"202012721753",2,2,143900,1000,0,,,,0,,,
"202006500517",,,,,,,,,,,,
"202012015588",,,,,,,,,,,,
"202101805460",,,,,,,,,,,,
"202101047521",,,,,,,,,,,,
"201907243211",,,,,,,,,,,,
"201806054055",,,,,,,,,,,,
"202101547549",,,,,,,,,,,,
"201811914757",,,,,,,,,,,,
"201909737431",,,,,,,,,,,,
"201909691331",,,,,,,,,,,,
"202102035923",,,,,,,,,,,,
"202010593613",,,,,,,,,,,,
"201711366703",1,1,208620,35380,0,,,,0,,,
"202101393184",,,,,,,,,,,,
"201906144370",,,,,,,,,,,,
"201812708248",,,,,,,,,,,,
"202004710244",,,,,,,,,,,,
"202012006173",,,,,,,,,,,,
"202009639634",,,,,,,,,,,,
"202101784725",,,,,,,,,,,,
"201804871035",,,,,,,,,,,,
"202010414801",,,,,,,,,,,,
"202101504827",,,,,,,,,,,,
"201711428053",,,,,,,,,,,,
"201912537894",,,,,,,,,,,,
"201812032145",,,,,,,,,,,,
"202011988888",,,,,,,,,,,,
"201907581434",,,,,,,,,,,,
"201902287313",,,,,,,,,,,,
"202012292699",,,,,,,,,,,,
"202003278915",,,,,,,,,,,,
"202101809037",,,,,,,,,,,,
"201910717522",2,2,67800,2000,0,,,,0,,,
"202010251914",,,,,,,,,,,,
"201807333321",1,1,75050,13950,0,,,,0,,,
"201912198468",,,,,,,,,,,,
"202101465977",,,,,,,,,,,,
"202012616960",,,,,,,,,,,,
"202101743076",,,,,,,,,,,,
"202101098023",,,,,,,,,,,,
"202102755730",,,,,,,,,,,,
"202004529939",,,,,,,,,,,,
"202009193540",,,,,,,,,,,,
"202101107250",,,,,,,,,,,,
"202009044682",,,,,,,,,,,,
"201502004608",,,,,,,,,,,,
"202101809362",,,,,,,,,,,,
"201907293557",,,,,,,,,,,,
"201909669317",,,,,,,,,,,,
"202007601672",1,1,38900,1000,1,1,38900,1000,0,,,
"201902480691",,,,,,,,,,,,
"201909035749",3,3,234000,3000,0,,,,0,,,
"201902270184",,,,,,,,,,,,
"201801468602",,,,,,,,,,,,
"202005708019",,,,,,,,,,,,
"201704895072",,,,,,,,,,,,
"201805923726",,,,,,,,,,,,
"202012719202",,,,,,,,,,,,
"201908310583",,,,,,,,,,,,
"202004636014",,,,,,,,,,,,
"201912392047",,,,,,,,,,,,
"201907437277",,,,,,,,,,,,
"202012386363",,,,,,,,,,,,
"201902232617",,,,,,,,,,,,
"202008985260",,,,,,,,,,,,
"202009299966",,,,,,,,,,,,
"201607494603",,,,,,,,,,,,
"202002620979",,,,,,,,,,,,
"202101111125",,,,,,,,,,,,
"202002148717",,,,,,,,,,,,
"201911264772",,,,,,,,,,,,
"201806089294",,,,,,,,,,,,
"202005972011",,,,,,,,,,,,
"202102150682",,,,,,,,,,,,
"201812161948",,,,,,,,,,,,
"201907608912",,,,,,,,,,,,
"202001560229",,,,,,,,,,,,
"202101104969",,,,,,,,,,,,
"201807244888",,,,,,,,,,,,
"201902265017",,,,,,,,,,,,
"202012379748",,,,,,,,,,,,
"202008075378",,,,,,,,,,,,
"201809459713",,,,,,,,,,,,
"201811671648",,,,,,,,,,,,
"202101047823",,,,,,,,,,,,
"202101112437",1,1,148000,21000,0,,,,0,,,
"202101837826",,,,,,,,,,,,
"202012627938",,,,,,,,,,,,
"202012550919",,,,,,,,,,,,
"202101001559",,,,,,,,,,,,
"201905906187",,,,,,,,,,,,
"202010485737",,,,,,,,,,,,
"201904805937",,,,,,,,,,,,
"202101110348",,,,,,,,,,,,
"202010563403",,,,,,,,,,,,
"202001830866",,,,,,,,,,,,
"201905944305",,,,,,,,,,,,
"202101110405",,,,,,,,,,,,
"201807274111",,,,,,,,,,,,
"202007554355",,,,,,,,,,,,
"202012963471",,,,,,,,,,,,
"202101810201",,,,,,,,,,,,
"201804861152",,,,,,,,,,,,
"202005702046",,,,,,,,,,,,
"202010716926",,,,,,,,,,,,
"201909716045",,,,,,,,,,,,
"201906891214",,,,,,,,,,,,
"202101822939",,,,,,,,,,,,
"201811740158",1,1,59000,0,0,,,,0,,,
"201908435472",,,,,,,,,,,,
"202004253664",,,,,,,,,,,,
"202003455195",,,,,,,,,,,,
"202007870698",,,,,,,,,,,,
"201805906842",1,1,1471550,77450,0,,,,0,,,
"202002012702",,,,,,,,,,,,
"202007793587",,,,,,,,,,,,
